x,ld
0,-0.10599
-0.001,-0.10599
-0.002,-0.10599
-0.003,-0.10599
-0.004,-0.10599
-0.005,0.39902
-0.006,0.96638
-0.007,1.35917
-0.008,0.8978
-0.009,0.48008
-0.01,-0.18081
-0.011,0.22445
-0.012,0.09352
-0.013,-0.16834
-0.014,-0.58607
-0.015,-0.76064
-0.016,-0.06235
-0.017,0.08729
-0.018,0.42396
-0.019,0.64218
-0.02,0.72946
-0.021,0.29303
-0.022,1.66468
-0.023,2.54377
-0.024,3.02385
-0.025,1.74573
-0.026,2.39414
-0.027,3.267
-0.028,3.88424
-0.029,4.81945
-0.03,5.68608
-0.031,4.65735
-0.032,3.06126
-0.033,3.29818
-0.034,2.30685
-0.035,2.38791
-0.036,1.30306
-0.037,1.90783
-0.038,2.15099
-0.039,1.98265
-0.04,1.38411
-0.041,2.02629
-0.042,1.02873
-0.043,-0.5923
-0.044,-0.35538
-0.045,-1.328
-0.046,-1.47763
-0.047,-2.90539
-0.048,-3.52263
-0.049,-3.79072
-0.05,-2.55001
-0.051,-2.11358
-0.052,-1.60233
-0.053,-2.52507
-0.054,-4.18351
-0.055,-2.27568
-0.056,-3.36676
-0.057,-4.13987
-0.058,-5.24965
-0.059,-5.19354
-0.06,-5.74843
-0.061,-6.23474
-0.062,-5.4554
-0.063,-5.2933
-0.064,-6.22227
-0.065,-5.15613
-0.066,-4.96285
-0.067,-4.63241
-0.068,-4.91921
-0.069,-5.34941
-0.07,-5.81078
-0.071,-5.56762
-0.072,-6.05393
-0.073,-5.38682
-0.074,-5.52398
-0.075,-5.96041
-0.076,-6.9268
-0.077,-6.67741
-0.078,-6.5153
-0.079,-5.8856
-0.08,-6.59636
-0.081,-5.96041
-0.082,-4.97532
-0.083,-5.50528
-0.084,-3.8406
-0.085,-2.70588
-0.086,-3.04255
-0.087,-3.95906
-0.088,-3.77202
-0.089,-4.20845
